year,costAnnualAgri
2020,0.0
2021,1153675.9868044835
2022,9127202.827509243
2023,17067916.818361416
2024,25723337.67052604
2025,38002638.96282459
2026,52525669.51013425
2027,66885854.978023574
2028,89353786.88820878
2029,111015400.73882207
2030,131935655.8802563
2031,152135027.48193362
2032,171615524.28430662
2033,190800827.54582882
2034,208896393.0585881
2035,225232078.64289144
2036,240139874.6911317
2037,252979673.9927978
2038,263050857.53294513
2039,271070624.80349684
2040,275484729.60824674
2041,276823015.8808692
2042,274344555.5020205
2043,270369993.83235216
2044,259822061.8571389
2045,245683727.53590673
2046,231545393.21467462
2047,217407058.89344248
2048,203268724.57221037
2049,189130390.25097823
2050,174992055.92974612
