year,Total_costAnnual
2020,19.571200000000005
2021,110.45456222887643
2022,194.66464614001356
2023,253.08451014953428
2024,385.4837857172963
2025,533.2846848816242
2026,737.7286928765722
2027,868.8209190288163
2028,954.3840938484674
2029,1026.9736406936845
2030,1085.3221803381916
2031,1128.402996806139
2032,1155.2380685352273
2033,1164.9437503143477
2034,1157.0506270157491
2035,1132.3701979686648
2036,1090.811102298304
2037,1034.5058212311405
2038,966.4997864523997
2039,884.7745043328299
2040,794.6192015793318
2041,693.6620413541192
2042,583.7683930206321
2043,453.73988841344607
2044,317.88192177292774
2045,305.08051312795743
2046,292.2740772853091
2047,279.4609971129516
2048,266.63965617663905
2049,189.13039025097822
2050,174.9920559297461
