year,Total_ghgAnnual
2020,488000.0
2021,1298649.5101065286
2022,2175790.6438302253
2023,3145988.671959075
2024,4200018.392678458
2025,5318832.8470408125
2026,6500606.420252252
2027,7748248.548418359
2028,9052716.747550646
2029,10417409.258904917
2030,11850762.543331426
2031,13351367.749150207
2032,14914271.924182873
2033,16539108.222436234
2034,18222947.98673744
2035,19948667.624844316
2036,21714954.07088431
2037,23497754.353798818
2038,25271362.11381673
2039,27051259.976544347
2040,28790265.71115607
2041,30560620.817435764
2042,32339726.055503175
2043,34140350.98574885
2044,35984619.08168968
2045,37865299.00103898
2046,39747027.738565855
2047,41525866.666666664
2048,42058133.33333333
2049,43881048.186966255
2050,45651093.72193864
