year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15757984.715128034
2023,36750184.56710996
2024,59527988.13568997
2025,81758347.86627224
2026,103281526.79307714
2027,124131485.0846652
2028,144164478.59112832
2029,163391075.4013904
2030,182243600.12927598
2031,200497520.6358433
2032,217662861.7502756
2033,233785050.9785479
2034,248975893.4266212
2035,262819081.1314492
2036,275241593.5150694
2037,285620958.2297684
2038,293231707.1829486
2039,297650036.3470476
2040,297397742.4825421
2041,295126278.272824
2042,290820030.7875008
2043,284625276.56636834
2044,277264165.9042105
2045,268480039.8220375
2046,252399028.5624183
2047,235718799.58326074
2048,219038570.60410324
2049,202358341.62494564
2050,185678112.64578807
