year,ghgAbateAnnualFMs
2020,390400.0
2021,900734.9964598401
2022,1441530.5380634242
2023,2013048.5677161282
2024,2615551.0283233286
2025,3249299.8627904006
2026,3914557.014022721
2027,4611584.424925664
2028,5340644.038404609
2029,6101997.79736493
2030,6895907.644712001
2031,7722635.523351201
2032,8582443.376187906
2033,9475593.14612749
2034,10402346.77607533
2035,11362966.208936801
2036,12357713.387617283
2037,13386850.255022148
2038,14450638.75405677
2039,15549340.827626532
2040,16682850.100351455
2041,17851691.564390574
2042,18917723.618998
2043,20013470.619762067
2044,21139194.509588145
2045,22295157.23138162
2046,23481620.72804786
2047,24039060.728047863
2048,24464874.06138119
2049,25831438.53054353
2050,27021004.324583057
