year,purCO2LULUCF
2020,1.3344
2021,4.3236742579653615
2022,6.860793163270191
2023,8.924167247234594
2024,10.530471214601874
2025,11.754645457364276
2026,12.621693647410293
2027,13.15188440572898
2028,13.377438273403445
2029,13.318135066272504
2030,12.988716380580522
2031,12.413769125102103
2032,11.621424309110253
2033,10.575219040917311
2034,9.359980846668254
2035,8.018318660338156
2036,6.572463769158663
2037,5.134802927650284
2038,3.69035180920946
2039,2.2468058453244666
2040,1.1246228655513661
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
