year,Total_ghgAnnual
2020,585600.0
2021,1795965.74203464
2022,3086726.836729812
2023,4502912.752765409
2024,6051288.785398125
2025,7680354.542635726
2026,9388546.352589706
2027,11179035.594271021
2028,13043041.726596557
2029,14984224.933727501
2030,17011283.619419478
2031,19123070.874897897
2032,21314895.690889753
2033,23646660.95908269
2034,26056979.153331745
2035,28526681.339661837
2036,31056976.23084134
2037,33558917.072349705
2038,36070928.19079054
2039,38608754.15467554
2040,40875377.13444864
2041,43207680.0
2042,44450239.99999999
2043,45688960.0
2044,46885120.0
2045,48000000.0
2046,48994880.0
2047,49831039.99999999
2048,50469759.99999999
2049,51928676.93622253
2050,53202834.5989259
