year,purCO2LULUCF
2020,1.432
2021,4.561235117106072
2022,7.219566178278093
2023,9.418867347412217
2024,11.191378537507198
2025,12.52756368006959
2026,13.50524438733795
2027,14.14264012735751
2028,14.462501565367548
2029,14.50384295466308
2030,14.271936015644648
2031,13.791465885676361
2032,13.090428958367832
2033,12.194655495815866
2034,11.286510243259968
2035,10.235758535509035
2036,9.089062240902667
2037,7.861652277638548
2038,6.592424579545014
2039,5.36923117433528
2040,4.2201684098764645
2041,3.1154112240087493
2042,2.043158471498927
2043,0.9145722934239089
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
