year,Total_ghgAnnual
2020,488000.0
2021,1558404.8828939286
2022,2727953.8217219096
2023,4008212.6525877863
2024,5390381.462492801
2025,6907436.31993041
2026,8504995.612662049
2027,10188279.872642495
2028,11957978.434632454
2029,13798517.045336924
2030,15728063.984355353
2031,17745374.114323635
2032,19845891.04163217
2033,22027224.50418413
2034,24130449.75674003
2035,26309241.464490958
2036,28540377.75909733
2037,30832067.722361445
2038,33168855.420454986
2039,35486328.82566473
2040,37779831.590123534
2041,40092268.77599125
2042,42407081.52850106
2043,44774387.706576094
2044,46885120.0
2045,48000000.0
2046,48994880.0
2047,49831039.99999999
2048,50469759.99999999
2049,52930707.30883711
2050,54982879.10068908
