year,ghgAbateAnnualFMs
2020,488000.0
2021,1273198.4319685
2022,2096231.4657241001
2023,2957508.3870564494
2024,3857438.4817552
2025,4847671.03561
2026,5887135.3344105
2027,6976240.663946349
2028,8035386.672320522
2029,9134721.920696024
2030,10275166.057175823
2031,11457128.367549574
2032,12681018.137606923
2033,13947244.653137522
2034,15256217.199931024
2035,16608345.063777072
2036,18004037.530465323
2037,19443703.885785427
2038,20927753.41552702
2039,22456595.405479774
2040,24030639.14143332
2041,25650293.909177326
2042,27315968.994501423
2043,29028073.68319527
2044,30787017.26104853
2045,31716083.927715193
2046,32545150.594381865
2047,33241950.594381858
2048,33774217.261048526
2049,35768066.86678796
2050,37295238.80249853
