year,purCO2LULUCF
2020,1.112
2021,3.7468215680315016
2022,6.006404559286063
2023,7.841955253666487
2024,9.327492745998882
2025,10.438043712457393
2026,11.245409527308968
2027,11.766132230623427
2028,12.108951155996662
2029,12.165047079201692
2030,12.002069050327927
2031,11.639339267820118
2032,11.09175274435213
2033,10.38164328045287
2034,9.53980275575746
2035,8.602378544015792
2036,7.587128042088718
2037,6.537982488110185
2038,5.499694155477293
2039,4.45553920612722
2040,3.4540266814225333
2041,2.4525965236145275
2042,1.4974252775374275
2043,0.7621435778532621
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
