year,Total_ghgAnnual
2020,488000.0
2021,1413565.1965002285
2022,2413853.9540770897
2023,3515513.4006764963
2024,4709400.191641762
2025,5976549.225183252
2026,7315216.743665011
2027,8728394.04035055
2028,10260693.368695008
2029,11863308.929724379
2030,13544759.041446846
2031,15303716.709340382
2032,17135310.83838452
2033,19039256.439743996
2034,21012706.713403903
2035,23038619.92427999
2036,25115764.86365763
2037,27220170.417636164
2038,29325629.80665676
2039,31445704.652136564
2040,33339323.00264378
2041,35265689.06856392
2042,36931364.153888024
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,43991649.49951474
2050,44973097.39907174
