year,costAnnualFMs
2020,0.0
2021,13789321.779919066
2022,15104951.720427817
2023,16774093.388809832
2024,18835470.977097504
2025,21327808.677323233
2026,24289830.681519408
2027,27760261.181718424
2028,31777824.369952694
2029,36381244.43825461
2030,41609245.57865654
2031,47500551.98319092
2032,54093887.84389012
2033,61427977.352786556
2034,69541544.7019126
2035,78473314.08330068
2036,88262009.68898317
2037,98946355.71099243
2038,110535959.22017251
2039,123092601.92044471
2040,136657461.55920777
2041,151271398.78582647
2042,166975743.76689035
2043,183844502.00581425
2044,201879476.91550934
2045,216781700.0108638
2046,231544039.3945868
2047,245791434.84239215
2048,259683284.8600815
2049,0.0
2050,0.0
