year,ghgAbateAnnualFMs
2020,244000.0
2021,642699.21598425
2022,1065195.73286205
2023,1511694.1935282247
2024,1982399.2408776
2025,2477515.517805
2026,2997247.66720525
2027,3541800.3319731746
2028,4111378.1550036
2029,4706185.779191351
2030,5326427.84743125
2031,5972309.002618127
2032,6644033.887646802
2033,7341807.1454121
2034,8065833.418808851
2035,8816317.350731878
2036,9593463.584076
2037,10397476.761736052
2038,11228270.388134034
2039,12086296.215615815
2040,12971785.50479957
2041,13884952.319122091
2042,14826010.409504822
2043,15795285.34676658
2044,16792846.84473672
2045,17782281.384977996
2046,18790424.275658045
2047,19810873.277081966
2048,20837157.265602734
2049,21269452.844676558
2050,21401485.10483294
