year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15757984.715128034
2023,27680771.218395613
2024,41817595.20252465
2025,55862723.04343039
2026,69683731.70584416
2027,91922210.8720818
2028,113343725.25319457
2029,133958842.9381062
2030,154199888.54064143
2031,173842329.92185834
2032,192396191.91094023
2033,209906902.01386213
2034,226486265.33658507
2035,241717973.9160627
2036,255529007.17433247
2037,267296892.7636811
2038,276296162.5915109
2039,282103012.63025945
2040,283081371.3262505
2041,282044780.49291664
2042,270607072.53795224
2043,257384058.65225634
2044,244161044.76656017
2045,230938030.8808643
2046,217715016.99516806
2047,204492003.10947216
2048,191268989.2237761
2049,178045975.33808014
2050,164822961.45238402
