year,Total_costAnnual
2020,24.464000000000002
2021,131.23209209963974
2022,233.82552698326865
2023,307.75207841816706
2024,472.7386070003099
2025,652.0478428754022
2026,896.9529302908937
2027,1056.0301003627073
2028,1152.1040249658076
2029,1231.3582389614737
2030,1292.058878778654
2031,1332.645493195175
2032,1351.72842706241
2033,1348.1212564646178
2034,1321.1062367152458
2035,1271.3821472965383
2036,1205.5758641410523
2037,1122.6968290670445
2038,1025.3210487333663
2039,912.7217627242945
2040,793.4239432989971
2041,660.3757745155453
2042,545.6438274082143
2043,414.7079869516518
2044,405.17236339528665
2045,395.6340123274816
2046,386.0916394734338
2047,376.5439511278548
2048,366.9896541436773
2049,178.04597533808013
2050,164.82296145238402
