year,Total_ghgAnnual
2020,488000.0
2021,1413565.1965002285
2022,2413853.9540770897
2023,3515513.400676497
2024,4709400.191641762
2025,5976549.225183252
2026,7315216.743665011
2027,8780679.937738288
2028,10312979.266082743
2029,11915594.827112114
2030,13597044.938834582
2031,15356002.606728118
2032,17187596.735772256
2033,19091542.33713173
2034,21064992.61079164
2035,23090905.821667727
2036,25037803.257920068
2037,26973848.811898604
2038,28901770.477864828
2039,30837132.738583
2040,32730751.089090213
2041,34657117.15501036
2042,36362028.64463949
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.00000001
2046,40829066.666666664
2047,41525866.666666664
2048,42058133.33333333
2049,44335164.06868082
2050,46248097.74037123
