year,costAnnualFMs
2020,0.0
2021,32288349.294454705
2022,33886619.99090302
2023,35487186.53521921
2024,37090072.87267462
2025,38695302.948540635
2026,40302900.708088644
2027,41912890.096590005
2028,43525295.05931614
2029,45140139.54153837
2030,46757447.48852815
2031,48377242.8455568
2032,49999549.55789574
2033,51624391.5708163
2034,53251792.82958993
2035,54881777.27948794
2036,56514368.86578177
2037,58149591.53374277
2038,59787469.22864235
2039,61428025.89575183
2040,63071285.48034265
2041,64717271.92768614
2042,66366009.18305375
2043,68017521.1917168
2044,69671831.8989467
2045,71276142.71046087
2046,72874420.88476141
2047,74464725.86341098
2048,76045117.9253144
2049,0.0
2050,0.0
