year,purCO2LULUCF
2020,1.0144000000000002
2021,3.4921818816378014
2022,5.588848715043975
2023,7.326016564627208
2024,8.622523754722192
2025,9.596516210409742
2026,10.269189165501219
2027,10.657002802908508
2028,10.788369225637572
2029,10.679259811450086
2030,10.340607718513262
2031,9.793191417524532
2032,9.061333479679778
2033,8.166982756822431
2034,7.130272587212769
2035,5.987696182110444
2036,4.759936226405468
2037,3.4904153101739226
2038,2.2242094122044023
2039,1.3014990242611049
2040,0.36634654111684384
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
