year,costAnnualFMs
2020,0.0
2021,40360436.61806836
2022,42358274.98862878
2023,44358983.16902402
2024,46362591.090843275
2025,48369128.6856758
2026,50378625.88511079
2027,52391112.620737515
2028,54406618.82414516
2029,56425174.42692297
2030,58446809.36066019
2031,60471553.55694602
2032,62499436.94736966
2033,64530489.46352039
2034,66564741.03698742
2035,68602221.59935994
2036,70642961.0822272
2037,72686989.41717848
2038,74734336.53580292
2039,76785032.3696898
2040,78839106.8504283
2041,80896589.90960768
2042,82957511.47881716
2043,85021901.48964599
2044,87089789.87368336
2045,89095178.38807608
2046,91093026.10595173
2047,93080907.32926372
2048,95056397.40664302
2049,0.0
2050,0.0
