year,costAnnualAgri
2020,0.0
2021,1008197.5646891106
2022,2465322.82997203
2023,4386234.247657491
2024,6835584.178226693
2025,9819215.537421225
2026,13361948.317657365
2027,17547188.57354263
2028,22255141.857970815
2029,27571396.965786915
2030,33610359.133430645
2031,40413894.57259826
2032,48019249.97383962
2033,56445910.76703698
2034,65608859.237185545
2035,67635854.5240147
2036,69662849.8108439
2037,71689845.09767309
2038,73716840.38450228
2039,75743835.67133147
2040,77770830.95816064
2041,79797826.24498986
2042,81824821.53181902
2043,83851816.8186482
2044,85878812.1054774
2045,87905807.39230658
2046,89932802.67913577
2047,91959797.96596496
2048,93986793.25279415
2049,96013788.53962334
2050,98040783.82645251
