year,Total_ghgAnnual
2020,731999.9999999999
2021,1989477.6479527494
2022,3329620.7246732567
2023,4750469.284823062
2024,6253931.172594286
2025,7837840.512535862
2026,9501679.795369457
2027,11248644.957253417
2028,13069744.278506676
2029,14968877.007832604
2030,16951034.023285512
2031,19016829.253549863
2032,21166643.78305722
2033,23400021.68321255
2034,25711697.29470821
2035,27739889.09047728
2036,29833427.790509656
2037,31992927.323489808
2038,33134400.0
2039,34046300.0
2040,35000000.0
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44984814.853918545
2050,46525741.15833403
