year,purCO2LULUCF
2020,0.472
2021,2.0193779408189005
2022,3.28472554574428
2023,4.2990768676778135
2024,5.085694870184848
2025,5.674584865659144
2026,6.078643107435871
2027,6.315943161323225
2028,6.39034792105863
2029,6.313546322563108
2030,6.038137776543152
2031,5.650662605884184
2032,5.168045255447349
2033,4.635116599480028
2034,4.0701747345281465
2035,3.4794595881176384
2036,2.8424645861347955
2037,2.206767986273009
2038,1.5421380020823108
2039,0.958383675358931
2040,0.4523185590924754
2041,0.08436569844607256
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
