year,costAnnualAgri
2020,0.0
2021,1915575.37290931
2022,4948362.101060268
2023,28473852.527353227
2024,56136494.13226192
2025,83616431.21237682
2026,110553332.02935466
2027,136982875.21137893
2028,163102692.3806455
2029,188885574.94255367
2030,214608134.5202086
2031,254449726.55507544
2032,290409988.19908464
2033,321682033.5931342
2034,348811386.9200459
2035,372802778.2494592
2036,391954449.9100405
2037,408165561.1162361
2038,419746798.23400617
2039,414829464.8420748
2040,400581067.8786213
2041,380554251.9811924
2042,360527436.0837635
2043,340500620.1863344
2044,320473804.2889054
2045,300446988.3914764
2046,280420172.4940476
2047,260393356.5966184
2048,240366540.69918945
2049,220339724.80176067
2050,200312908.90433148
