year,purCO2LULUCF
2020,1.112
2021,3.675109568031501
2022,5.839314067045207
2023,7.481211681038783
2024,8.735233266133308
2025,9.652705215074143
2026,10.263653882718664
2027,10.58634633123965
2028,10.632142365185437
2029,10.421474708658396
2030,9.9910413023259
2031,9.26537671334631
2032,8.430732709350064
2033,7.542796775222397
2034,6.599777057398832
2035,5.563006726883938
2036,4.514954767913654
2037,3.3915774134240806
2038,2.279922193874871
2039,1.338393118037878
2040,0.6132547677439923
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
