year,costAnnualAgri
2020,0.0
2021,3120188.062210197
2022,6311762.547079876
2023,14711028.338775817
2024,23822662.436821986
2025,32732293.970016122
2026,41385412.2917235
2027,49772364.659392975
2028,57856471.30077994
2029,65668241.6206169
2030,73353113.41787094
2031,80822797.40029977
2032,87779850.35327089
2033,94264848.30732991
2034,100438861.2411739
2035,106290732.8098076
2036,111827869.67632808
2037,117047239.97099502
2038,121945811.82406805
2039,126059247.29210915
2040,129083153.21172522
2041,131598237.85869806
2042,134072390.66557772
2043,136358237.7110785
2044,138047661.33849537
2045,139515538.27254093
2046,133629887.90832499
2047,127744237.544109
2048,121858587.17989312
2049,115972936.81567717
2050,110087286.45146123
