year,costAnnualFMs
2020,0.0
2021,27578643.55983813
2022,30209903.440855633
2023,33548186.777619664
2024,37670941.95419501
2025,42655617.35464647
2026,48579661.36303883
2027,55520522.363436855
2028,63555648.73990539
2029,72762488.87650922
2030,83218491.15731308
2031,95001103.96638183
2032,108187775.68778026
2033,122855954.70557313
2034,139070010.65541723
2035,156884265.1725333
2036,176406265.05454835
2037,197713182.42948303
2038,216756872.24033055
2039,233355549.54719716
2040,246886258.67929623
2041,260649355.22639498
2042,267087467.75421327
2043,273527892.57644427
2044,279970649.64748114
2045,286415758.9217166
2046,292855766.5551436
2047,299245175.5724923
2048,305626323.9047609
2049,0.0
2050,0.0
