year,ghgAbateAnnualFMs
2020,488000.0
2021,1285398.4319685
2022,2130391.4657241
2023,3023388.38705645
2024,3964798.4817552
2025,4955031.03561
2026,5994495.3344105
2027,7083600.663946349
2028,8222756.3100072
2029,9412371.558382701
2030,10652855.6948625
2031,11944618.005236253
2032,13288067.775293604
2033,14683614.2908242
2034,16131520.597840432
2035,17631957.417084657
2036,19185684.016574234
2037,20793109.68209883
2038,22413395.166073214
2039,24047614.865967687
2040,25692586.714443613
2041,27381826.205119234
2042,29047501.290443335
2043,30759605.979137182
2044,32518549.556990437
2045,34324741.30979274
2046,36029649.48410102
2047,36726449.48410101
2048,37258716.15076768
2049,39100791.18673822
2050,40884708.004729174
