year,purCO2LULUCF
2020,1.112
2021,3.7630348622188095
2022,6.045179588364287
2023,7.949355031010503
2024,9.516484278327598
2025,10.772188438307179
2026,11.73600020067804
2027,12.427597920874991
2028,12.868642542554483
2029,13.0756901117659
2030,13.066371842913437
2031,12.86050629566545
2032,12.484520150518543
2033,11.956299782342253
2034,11.290647250455503
2035,10.507036781786407
2036,9.624118258982797
2037,8.661015729588335
2038,7.678101774521586
2039,6.702313311191343
2040,5.7650027611354595
2041,4.835585072742482
2042,3.9499139321536596
2043,3.0100539819013186
2044,2.0007770449780864
2045,0.8758415076416028
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
