year,Total_costAnnual
2020,24.464000000000002
2021,134.1822903330656
2022,236.01259240395697
2023,310.58793113974207
2024,480.2189126374313
2025,667.8582754315574
2026,929.0890880032421
2027,1099.5921115373883
2028,1207.6253897407144
2029,1302.8233543794947
2030,1384.1303905594846
2031,1450.4940399433162
2032,1501.4291001861773
2033,1536.1106737728442
2034,1553.5711953881666
2035,1553.2941919953107
2036,1534.9371059336013
2037,1498.410499173272
2038,1445.7363474077194
2039,1378.9075624750615
2040,1301.1178113221142
2041,1210.9260646112452
2042,1106.6719054316131
2043,977.0956945771957
2044,815.7776788569429
2045,609.6272989057379
2046,426.48565446346856
2047,426.9894131166013
2048,427.484911084654
2049,115.97293681567716
2050,110.08728645146122
