year,costAnnualFMs
2020,0.0
2021,26906957.74537892
2022,28238849.992419194
2023,29572655.446016014
2024,30908394.06056219
2025,32246085.790450532
2026,33585750.59007388
2027,34927408.413825005
2028,36271079.21609677
2029,37616782.95128198
2030,38964539.573773466
2031,49263107.48079601
2032,60965734.300148234
2033,74149868.41589488
2034,88892958.21210076
2035,102603769.72534242
2036,105597497.91215104
2037,108593418.66701554
2038,111591551.94432886
2039,114591917.69848384
2040,117594535.8838732
2041,120599426.45488979
2042,123606609.36592652
2043,126616104.57137609
2044,129588022.77730791
2045,132548103.48072204
2046,166529290.61063117
2047,203065175.70512
2048,242241881.790598
2049,0.0
2050,0.0
