year,Total_ghgAnnual
2020,488000.0
2021,1369104.9863191415
2022,2313602.3832334303
2023,3351669.634556472
2024,4458027.869234532
2025,5654571.218198419
2026,6983237.651169958
2027,8377940.845243234
2028,9829484.43784237
2029,11341563.034775905
2030,12918962.871203316
2031,14672192.653711122
2032,16501597.393933112
2033,18412000.67695237
2034,20390695.27518712
2035,22388009.977251858
2036,24306888.825540047
2037,26242934.379518583
2038,28170856.04548481
2039,30126910.994834885
2040,32068893.739227753
2041,34030155.90552664
2042,35969288.00288265
2043,37942258.865968965
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41482908.66372142
2048,42058133.33333333
2049,42477225.690169476
2050,42893248.36779981
