year,purCO2LULUCF
2020,1.112
2021,3.745178568031501
2022,5.958280050003223
2023,7.819846132013517
2024,9.342387897335454
2025,10.523544548371571
2026,11.391910363223147
2027,11.983393066537605
2028,12.27314947393847
2029,12.32930421033827
2030,12.166604373910854
2031,11.803874591403048
2032,11.260263184514393
2033,10.550479901495128
2034,9.706765303260386
2035,8.769341091518719
2036,7.754162243230521
2037,6.705016689251991
2038,5.666728356619096
2039,4.6225734072690265
2040,3.6342906628761504
2041,2.6794284965772626
2042,1.7784024928452844
2043,0.840385172285746
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
