year,ghgAbateAnnualFMs
2020,488000.0
2021,1430238.1183622
2022,2417877.7588689197
2023,3451410.0644677393
2024,4531326.17810624
2025,5658117.242732
2026,6832274.4012926
2027,8054288.796735618
2028,9324651.57200864
2029,10643853.87005924
2030,12012386.833834998
2031,13430741.6062835
2032,14899409.330352321
2033,16418881.148989042
2034,17989648.20514124
2035,19612201.6417565
2036,21287032.6017824
2037,23014632.228166517
2038,24795491.66385644
2039,26630102.05179974
2040,28518954.534944
2041,29525354.534943998
2042,30560821.201610662
2043,31593087.868277334
2044,32589887.868277334
2045,33518954.534943998
2046,34348021.20161067
2047,35044821.20161066
2048,35577087.868277326
2049,37945323.27119444
2050,39306011.491861835
