year,ghgAbateAnnualFMs
2020,488000.0
2021,1125883.922977959
2022,1801815.6693081243
2023,2516122.6676222174
2024,3269132.3465519575
2025,4061318.3896357976
2026,4892889.828676198
2027,5764174.092304877
2028,6675498.6091535585
2029,7627190.8078539595
2030,8619578.1170378
2031,9652987.965336798
2032,10727747.781382678
2033,11844184.99380716
2034,13002627.031241959
2035,14203401.3223188
2036,15446835.2956694
2037,16733256.37992548
2038,18062992.00371876
2039,19436369.59568096
2040,20853562.625439316
2041,22314614.455488224
2042,23820262.68152372
2043,25370834.73217757
2044,26966658.036081444
2045,28608060.02186709
2046,30091139.39269989
2047,31612672.160755366
2048,32572007.87898698
2049,33832084.72269207
2050,34371102.59810839
