year,Total_costAnnual
2020,19.571200000000005
2021,117.84068567794105
2022,207.3317350513649
2023,271.07537237972997
2024,421.6019800855137
2025,589.4410725715167
2026,818.9270651683399
2027,972.7160788616002
2028,1074.8053180772256
2029,1166.1285277526956
2030,1245.5890858200019
2031,1312.3399031753472
2032,1365.592161100889
2033,1404.6617546292582
2034,1429.2899670963309
2035,1440.51103927179
2036,1438.4693482744872
2037,1425.547137522113
2038,1405.0547324420002
2039,1375.254857822122
2040,1341.739122438104
2041,1302.46336383612
2042,1259.403745567723
2043,1201.8909700319678
2044,1122.198906586506
2045,1013.387707260238
2046,881.8526141004336
2047,705.5284457249511
2048,616.6940972311963
2049,209.6615721828873
2050,192.41575441534246
