year,costAnnualFMs
2020,0.0
2021,27578643.55983813
2022,30209903.440855633
2023,33548186.777619664
2024,37670941.95419501
2025,42655617.35464647
2026,48579661.36303883
2027,55520522.363436855
2028,63555648.73990539
2029,72762488.87650922
2030,83218491.15731308
2031,95001103.96638183
2032,108187775.68778026
2033,122855954.70557313
2034,139083089.4038252
2035,156913378.34717697
2036,176436214.33847672
2037,197743967.82269612
2038,220913810.92785594
2039,243689321.14078614
2040,263171551.62533757
2041,279537241.1537018
2042,294497207.1963866
2043,310185494.26716626
2044,326640286.2604379
2045,336017776.14107585
2046,343571955.84654045
2047,351128527.6639892
2048,358616366.6477436
2049,0.0
2050,0.0
