year,ghgAbateAnnualFMs
2020,488000.0
2021,1285398.4319685
2022,2130391.4657241
2023,3023388.38705645
2024,3964798.4817552
2025,4955031.03561
2026,5994495.3344105
2027,7083600.663946349
2028,8222756.3100072
2029,9412371.558382701
2030,10652855.6948625
2031,11944618.005236253
2032,13288067.775293604
2033,14683614.2908242
2034,16131666.837617699
2035,17632273.596554656
2036,19186000.196044233
2037,20793425.861568827
2038,22454959.87891807
2039,24148279.2786008
2040,25847242.76151247
2041,27556803.979703203
2042,29295353.828647982
2043,31083341.11227119
2044,32921298.540341556
2045,34743245.54124105
2046,36597094.75478205
2047,38499010.7148514
2048,39031277.381518066
2049,39800080.96259239
2050,41471071.859368145
