year,purCO2LULUCF
2020,1.112
2021,3.7822598768985696
2022,6.0883985039498
2023,8.036446741038135
2024,9.652334880201279
2025,10.95745027249297
2026,11.97479601192457
2027,12.725184701930054
2028,13.226700657143247
2029,13.49808716975957
2030,13.558527221259034
2031,13.429963912255337
2032,13.129799016682098
2033,12.677582254475059
2034,12.091887654842981
2035,11.39176409337366
2036,10.596180041812808
2037,9.724153093090909
2038,8.795124942739331
2039,7.85210497092633
2040,6.947705351674095
2041,6.096928507589137
2042,5.245232726796004
2043,4.347586566467822
2044,3.3639298349332662
2045,2.358017651342024
2046,1.2256476573120807
2047,0.0
2048,0.0
2049,0.0
2050,0.0
