year,Total_costAnnual
2020,24.464000000000002
2021,133.72634005523113
2022,235.38602359550583
2023,307.9237090833973
2024,477.2505372070194
2025,666.2839872434948
2026,931.6619144485794
2027,1106.2224111447704
2028,1218.1033318376217
2029,1318.2196071663916
2030,1405.6145974988801
2031,1479.7005182641904
2032,1539.5062336965418
2033,1584.2717499891903
2034,1613.4672833868888
2035,1626.7295954923038
2036,1623.8995660525834
2037,1605.0813695417696
2038,1570.7185185583885
2039,1522.8011795817195
2040,1465.1668981568148
2041,1400.297430562549
2042,1321.2089709843603
2043,1220.1562205635785
2044,1086.8239313363858
2045,921.654272265708
2046,705.1555455592716
2047,437.8378036402262
2048,441.0087154697215
2049,78.07542166771873
2050,73.75849451345967
