year,Total_ghgAnnual
2020,488000.0
2021,1317440.123101432
2022,2201201.4960502014
2023,3152786.5922952
2024,4165798.453132055
2025,5238383.060840368
2026,6367070.6547421
2027,7550581.964736616
2028,8790366.009523422
2029,10087212.830240432
2030,11441472.778740969
2031,12850736.08774466
2032,14317134.316651238
2033,15840651.078858271
2034,17422245.678490356
2035,19062402.573293008
2036,20761686.624853857
2037,22520613.573575754
2038,24339275.05726067
2039,26194195.02907367
2040,28052294.648325905
2041,29909471.492410865
2042,31796633.939870656
2043,33726546.766865514
2044,35707003.49840007
2045,37641982.34865798
2046,39603419.00935459
2047,41525866.666666664
2048,42058133.33333333
2049,42826936.914407656
2050,44497927.81118341
