year,techAgri,r,capAgri
2020,Agri01_AGC,DE1,0.0
2020,Agri01_AGC,DE2,0.0
2020,Agri01_AGC,DE3,0.0
2020,Agri01_AGC,DE4,0.0
2020,Agri01_AGC,DE5,0.0
2020,Agri01_AGC,DE6,0.0
2020,Agri01_AGC,DE7,0.0
2020,Agri01_AGC,DE8,0.0
2020,Agri01_AGC,DE9,0.0
2020,Agri01_AGC,DEA,0.0
2020,Agri01_AGC,DEB,0.0
2020,Agri01_AGC,DEC,0.0
2020,Agri01_AGC,DEE,0.0
2020,Agri01_AGC,DED,0.0
2020,Agri01_AGC,DEF,0.0
2020,Agri01_AGC,DEG,0.0
2020,Agri02_OFC,DE1,0.0
2020,Agri02_OFC,DE2,0.0
2020,Agri02_OFC,DE3,0.0
2020,Agri02_OFC,DE4,0.0
2020,Agri02_OFC,DE5,0.0
2020,Agri02_OFC,DE6,0.0
2020,Agri02_OFC,DE7,0.0
2020,Agri02_OFC,DE8,0.0
2020,Agri02_OFC,DE9,0.0
2020,Agri02_OFC,DEA,0.0
2020,Agri02_OFC,DEB,0.0
2020,Agri02_OFC,DEC,0.0
2020,Agri02_OFC,DEE,0.0
2020,Agri02_OFC,DED,0.0
2020,Agri02_OFC,DEF,0.0
2020,Agri02_OFC,DEG,0.0
2020,Agri03_No-till,DE1,0.0
2020,Agri03_No-till,DE2,0.0
2020,Agri03_No-till,DE3,0.0
2020,Agri03_No-till,DE4,0.0
2020,Agri03_No-till,DE5,0.0
2020,Agri03_No-till,DE6,0.0
2020,Agri03_No-till,DE7,0.0
2020,Agri03_No-till,DE8,0.0
2020,Agri03_No-till,DE9,0.0
2020,Agri03_No-till,DEA,0.0
2020,Agri03_No-till,DEB,0.0
2020,Agri03_No-till,DEC,0.0
2020,Agri03_No-till,DEE,0.0
2020,Agri03_No-till,DED,0.0
2020,Agri03_No-till,DEF,0.0
2020,Agri03_No-till,DEG,0.0
2020,Agri04_toGrassland,DE1,0.0
2020,Agri04_toGrassland,DE2,0.0
2020,Agri04_toGrassland,DE3,0.0
2020,Agri04_toGrassland,DE4,0.0
2020,Agri04_toGrassland,DE5,0.0
2020,Agri04_toGrassland,DE6,0.0
2020,Agri04_toGrassland,DE7,0.0
2020,Agri04_toGrassland,DE8,0.0
2020,Agri04_toGrassland,DE9,0.0
2020,Agri04_toGrassland,DEA,0.0
2020,Agri04_toGrassland,DEB,0.0
2020,Agri04_toGrassland,DEC,0.0
2020,Agri04_toGrassland,DEE,0.0
2020,Agri04_toGrassland,DED,0.0
2020,Agri04_toGrassland,DEF,0.0
2020,Agri04_toGrassland,DEG,0.0
2020,Agri05_Agroforestry,DE1,0.0
2020,Agri05_Agroforestry,DE2,0.0
2020,Agri05_Agroforestry,DE3,0.0
2020,Agri05_Agroforestry,DE4,0.0
2020,Agri05_Agroforestry,DE5,0.0
2020,Agri05_Agroforestry,DE6,0.0
2020,Agri05_Agroforestry,DE7,0.0
2020,Agri05_Agroforestry,DE8,0.0
2020,Agri05_Agroforestry,DE9,0.0
2020,Agri05_Agroforestry,DEA,0.0
2020,Agri05_Agroforestry,DEB,0.0
2020,Agri05_Agroforestry,DEC,0.0
2020,Agri05_Agroforestry,DEE,0.0
2020,Agri05_Agroforestry,DED,0.0
2020,Agri05_Agroforestry,DEF,0.0
2020,Agri05_Agroforestry,DEG,0.0
2020,Agri06_Biochar,DE1,0.0
2020,Agri06_Biochar,DE2,0.0
2020,Agri06_Biochar,DE3,0.0
2020,Agri06_Biochar,DE4,0.0
2020,Agri06_Biochar,DE5,0.0
2020,Agri06_Biochar,DE6,0.0
2020,Agri06_Biochar,DE7,0.0
2020,Agri06_Biochar,DE8,0.0
2020,Agri06_Biochar,DE9,0.0
2020,Agri06_Biochar,DEA,0.0
2020,Agri06_Biochar,DEB,0.0
2020,Agri06_Biochar,DEC,0.0
2020,Agri06_Biochar,DEE,0.0
2020,Agri06_Biochar,DED,0.0
2020,Agri06_Biochar,DEF,0.0
2020,Agri06_Biochar,DEG,0.0
2021,Agri01_AGC,DE1,5402.620849984376
2021,Agri01_AGC,DE2,11779.813191356809
2021,Agri01_AGC,DE3,0.0
2021,Agri01_AGC,DE4,4658.260817101986
2021,Agri01_AGC,DE5,0.0
2021,Agri01_AGC,DE6,0.0
2021,Agri01_AGC,DE7,3038.121363920704
2021,Agri01_AGC,DE8,5139.20028888255
2021,Agri01_AGC,DE9,9726.993596034563
2021,Agri01_AGC,DEA,5645.034365424646
2021,Agri01_AGC,DEB,2808.817025282603
2021,Agri01_AGC,DEC,0.0
2021,Agri01_AGC,DEE,4308.003375872387
2021,Agri01_AGC,DED,3205.7618849141404
2021,Agri01_AGC,DEF,3714.5913436538585
2021,Agri01_AGC,DEG,2969.6568595198196
2021,Agri02_OFC,DE1,0.0
2021,Agri02_OFC,DE2,0.0
2021,Agri02_OFC,DE3,0.0
2021,Agri02_OFC,DE4,0.0
2021,Agri02_OFC,DE5,0.0
2021,Agri02_OFC,DE6,0.0
2021,Agri02_OFC,DE7,0.0
2021,Agri02_OFC,DE8,0.0
2021,Agri02_OFC,DE9,0.0
2021,Agri02_OFC,DEA,0.0
2021,Agri02_OFC,DEB,0.0
2021,Agri02_OFC,DEC,0.0
2021,Agri02_OFC,DEE,0.0
2021,Agri02_OFC,DED,0.0
2021,Agri02_OFC,DEF,0.0
2021,Agri02_OFC,DEG,0.0
2021,Agri03_No-till,DE1,0.0
2021,Agri03_No-till,DE2,0.0
2021,Agri03_No-till,DE3,0.0
2021,Agri03_No-till,DE4,0.0
2021,Agri03_No-till,DE5,0.0
2021,Agri03_No-till,DE6,0.0
2021,Agri03_No-till,DE7,0.0
2021,Agri03_No-till,DE8,0.0
2021,Agri03_No-till,DE9,0.0
2021,Agri03_No-till,DEA,0.0
2021,Agri03_No-till,DEB,0.0
2021,Agri03_No-till,DEC,0.0
2021,Agri03_No-till,DEE,0.0
2021,Agri03_No-till,DED,0.0
2021,Agri03_No-till,DEF,0.0
2021,Agri03_No-till,DEG,0.0
2021,Agri04_toGrassland,DE1,36.47629363683719
2021,Agri04_toGrassland,DE2,79.53249670597592
2021,Agri04_toGrassland,DE3,0.07426913602625497
2021,Agri04_toGrassland,DE4,31.450678128204487
2021,Agri04_toGrassland,DE5,0.2387826213140755
2021,Agri04_toGrassland,DE6,0.3922103152012899
2021,Agri04_toGrassland,DE7,20.512156979337238
2021,Agri04_toGrassland,DE8,34.69778538990766
2021,Agri04_toGrassland,DE9,65.67269561653909
2021,Agri04_toGrassland,DEA,38.112970874841565
2021,Agri04_toGrassland,DEB,18.96398755923286
2021,Agri04_toGrassland,DEC,2.016473853156783
2021,Agri04_toGrassland,DEE,29.085882665125666
2021,Agri04_toGrassland,DED,21.643997439547704
2021,Agri04_toGrassland,DEF,25.07940652403242
2021,Agri04_toGrassland,DEG,20.0499125547198
2021,Agri05_Agroforestry,DE1,396.4216063173249
2021,Agri05_Agroforestry,DE2,864.3531717479646
2021,Agri05_Agroforestry,DE3,0.8071513651155258
2021,Agri05_Agroforestry,DE4,341.80359626124124
2021,Agri05_Agroforestry,DE5,2.5950715071114625
2021,Agri05_Agroforestry,DE6,4.262512104829113
2021,Agri05_Agroforestry,DE7,222.92457396411788
2021,Agri05_Agroforestry,DE8,377.0929129167323
2021,Agri05_Agroforestry,DE9,713.7258995306889
2021,Agri05_Agroforestry,DEA,414.208891017146
2021,Agri05_Agroforestry,DEB,206.09918554939864
2021,Agri05_Agroforestry,DEC,21.91488564940202
2021,Agri05_Agroforestry,DEE,316.10317764362986
2021,Agri05_Agroforestry,DED,235.22533066376369
2021,Agri05_Agroforestry,DEF,272.56109731778633
2021,Agri05_Agroforestry,DEG,217.90093644374724
2021,Agri06_Biochar,DE1,0.0
2021,Agri06_Biochar,DE2,0.0
2021,Agri06_Biochar,DE3,0.0
2021,Agri06_Biochar,DE4,0.0
2021,Agri06_Biochar,DE5,0.0
2021,Agri06_Biochar,DE6,0.0
2021,Agri06_Biochar,DE7,0.0
2021,Agri06_Biochar,DE8,0.0
2021,Agri06_Biochar,DE9,0.0
2021,Agri06_Biochar,DEA,0.0
2021,Agri06_Biochar,DEB,0.0
2021,Agri06_Biochar,DEC,0.0
2021,Agri06_Biochar,DEE,0.0
2021,Agri06_Biochar,DED,0.0
2021,Agri06_Biochar,DEF,0.0
2021,Agri06_Biochar,DEG,0.0
2022,Agri01_AGC,DE1,10999.326475213004
2022,Agri01_AGC,DE2,23541.13807991212
2022,Agri01_AGC,DE3,0.0
2022,Agri01_AGC,DE4,9561.176643727016
2022,Agri01_AGC,DE5,0.0
2022,Agri01_AGC,DE6,0.0
2022,Agri01_AGC,DE7,6030.010782920319
2022,Agri01_AGC,DE8,10477.089279406515
2022,Agri01_AGC,DE9,19499.749450138806
2022,Agri01_AGC,DEA,11471.896296605972
2022,Agri01_AGC,DEB,5780.3888380938315
2022,Agri01_AGC,DEC,0.0
2022,Agri01_AGC,DEE,8734.81545616404
2022,Agri01_AGC,DED,6563.518137219212
