year,costAnnualAgri
2020,0.0
2021,9460557.02309802
2022,24718431.840332933
2023,39544884.86807021
2024,53952488.22968991
2025,67953315.60486078
2026,81465657.70804901
2027,94732373.50658442
2028,107564597.9181175
2029,119936002.57602209
2030,131652485.18591107
2031,142648841.99087965
2032,153123272.86367324
2033,163095944.35314503
2034,172538061.77157688
2035,181447434.68706724
2036,189659579.12745464
2037,196992988.68563688
2038,203306404.87804165
2039,208423219.48850262
2040,210973543.50500417
2041,211535295.43548656
2042,210084074.38857114
2043,206674560.23864195
2044,195668983.1457862
2045,184663406.05293053
2046,173657828.9600748
2047,162652251.86721924
2048,151646674.77436364
2049,140641097.68150812
2050,129635520.5886524
