year,ghgAbateAnnualFMs
2020,488000.0
2021,1273198.4319685
2022,2096231.4657241001
2023,2989228.3870564494
2024,3930638.4817552
2025,4920871.03561
2026,5960335.3344105
2027,7049440.663946349
2028,8188596.3100072
2029,9378211.558382701
2030,10618695.6948625
2031,11910458.005236253
2032,13184017.764025697
2033,14450244.279556295
2034,15759216.826349797
2035,17111344.690195847
2036,18507037.156884093
2037,19946703.5122042
2038,21430753.041945793
2039,22959595.031898547
2040,24533638.767852094
2041,26153293.535596095
2042,27818968.620920192
2043,29531073.30961404
2044,31290016.887467295
2045,32219083.55413396
2046,33048150.22080063
2047,33744950.22080062
2048,34277216.88746729
2049,36292854.367993265
2050,38067589.691072665
