year,Total_costAnnual
2020,24.464000000000002
2021,137.74810501559895
2022,246.15824102780792
2023,323.206475084978
2024,489.3266212254731
2025,669.9989017664981
2026,916.911629571092
2027,1074.2489978780825
2028,1169.4058382161438
2029,1249.6786376427588
2030,1313.2628281908376
2031,1358.7928918791774
2032,1386.4456155843436
2033,1395.444063450948
2034,1384.1494740497596
2035,1351.815431851727
2036,1298.9686168602816
2037,1226.5247561679187
2038,1135.5663393889804
2039,1027.8772917753236
2040,912.4453570679987
2041,786.3661837290755
2042,645.9758918726354
2043,484.70869617025306
2044,333.28005989819246
2045,325.42682481976965
2046,317.5685625436689
2047,309.7036559378592
2048,301.83048856809427
2049,140.6410976815081
2050,129.63552058865238
