year,costAnnualAgri
2020,0.0
2021,6388721.997861148
2022,12904279.345990034
2023,22667825.616102535
2024,34243782.535032555
2025,52956819.58817531
2026,71090544.10497496
2027,88672589.75154719
2028,105581127.49840988
2029,121834151.84106731
2030,137636603.5223542
2031,153099857.80837733
2032,167801163.7459684
2033,181510608.95623317
2034,194460885.77189696
2035,206305342.0851558
2036,216988114.51817235
2037,226001573.33484134
2038,232754104.76192588
2039,236895300.3767893
2040,237216752.74135947
2041,235886365.40574366
2042,232896277.77938423
2043,228237115.27781186
2044,219215449.79090312
2045,206523962.87486768
2046,193832475.9588322
2047,181140989.04279688
2048,168449502.12676162
2049,155758015.21072623
2050,143066528.2946907
