year,costAnnualFMs
2020,0.0
2021,27578643.55983813
2022,30209903.44085563
2023,33548186.777619667
2024,37670941.95419502
2025,42655617.354646474
2026,48579661.36303883
2027,55520522.36343684
2028,63555648.73990538
2029,72762488.87650922
2030,83218491.1573131
2031,95001103.96638182
2032,108187775.68778023
2033,122855954.70557313
2034,139083089.4038252
2035,156946628.16660136
2036,176524019.3779663
2037,181500031.652626
2038,186478256.44973448
2039,191458713.72368455
2040,196441423.4288691
2041,201426405.51968086
2042,206413679.95051274
2043,211403266.67575753
2044,216395185.6498079
2045,221353507.97478
2046,226298732.25165352
2047,231237312.2061404
2048,236167631.4039075
2049,0.0
2050,0.0
