year,purCO2LULUCF
2020,1.112
2021,3.7117681564061185
2022,5.93243854359351
2023,7.772144935380849
2024,9.257653483668886
2025,10.383818200791275
2026,11.210225527987278
2027,11.753933906821487
2028,12.041605434276178
2029,12.089823269110918
2030,11.912694934642733
2031,11.527876338253153
2032,10.958715832133953
2033,10.227750047940251
2034,9.355237200311201
2035,8.374346392174449
2036,7.305471947334691
2037,6.3556022330878434
2038,5.406088327699877
2039,4.463930121134798
2040,3.585891070216789
2041,2.725193681488161
2042,1.8762196532051938
2043,0.998488828192631
2044,0.16080268855236923
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
