year,Total_costAnnual
2020,24.464000000000002
2021,137.118465949888
2022,240.00658716901157
2023,315.6141744341484
2024,480.3514014778059
2025,658.6600395589785
2026,901.7166454146243
2027,1059.7407617582242
2028,1154.4791234088834
2029,1231.8343375289908
2030,1290.0222294252135
2031,1327.4842947067805
2032,1342.8741235049981
2033,1335.076977787566
2034,1303.5329527403414
2035,1249.3804978651815
2036,1172.4471537164738
2037,1075.9570753098012
2038,964.5995028737167
2039,838.2456832344586
2040,704.6362664817387
2041,556.1121329153393
2042,438.77590539811075
2043,359.6436970422387
2044,345.5768806721692
2045,331.50665489808495
2046,317.4314018766596
2047,303.34950447645497
2048,289.2593462638091
2049,210.5353178715266
2050,195.1281602080702
