year,Total_ghgAnnual
2020,488000.0
2021,1426998.5494065743
2022,2436386.451747688
2023,3560304.6024650615
2024,4764432.659238989
2025,6035724.988717817
2026,7373233.151135827
2027,8843207.91811659
2028,10373615.982917767
2029,11968551.606477913
2030,13638154.913248911
2031,15380751.652646406
2032,17190414.653487895
2033,19066720.072013155
2034,21006169.891046345
2035,22988232.17132843
2036,25011347.605243955
2037,27046668.99895417
2038,29062139.165609967
2039,31066559.281416662
2040,33024092.55483461
2041,35011800.88038999
2042,36677475.96571408
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44014668.63343631
2050,45293013.870491594
