year,techAgri,r,ghgAbateTechAgri
2020,Agri01_AGC,DE1,0.0
2020,Agri01_AGC,DE2,0.0
2020,Agri01_AGC,DE3,0.0
2020,Agri01_AGC,DE4,0.0
2020,Agri01_AGC,DE5,0.0
2020,Agri01_AGC,DE6,0.0
2020,Agri01_AGC,DE7,0.0
2020,Agri01_AGC,DE8,0.0
2020,Agri01_AGC,DE9,0.0
2020,Agri01_AGC,DEA,0.0
2020,Agri01_AGC,DEB,0.0
2020,Agri01_AGC,DEC,0.0
2020,Agri01_AGC,DEE,0.0
2020,Agri01_AGC,DED,0.0
2020,Agri01_AGC,DEF,0.0
2020,Agri01_AGC,DEG,0.0
2020,Agri02_OFC,DE1,0.0
2020,Agri02_OFC,DE2,0.0
2020,Agri02_OFC,DE3,0.0
2020,Agri02_OFC,DE4,0.0
2020,Agri02_OFC,DE5,0.0
2020,Agri02_OFC,DE6,0.0
2020,Agri02_OFC,DE7,0.0
2020,Agri02_OFC,DE8,0.0
2020,Agri02_OFC,DE9,0.0
2020,Agri02_OFC,DEA,0.0
2020,Agri02_OFC,DEB,0.0
2020,Agri02_OFC,DEC,0.0
2020,Agri02_OFC,DEE,0.0
2020,Agri02_OFC,DED,0.0
2020,Agri02_OFC,DEF,0.0
2020,Agri02_OFC,DEG,0.0
2020,Agri03_No-till,DE1,0.0
2020,Agri03_No-till,DE2,0.0
2020,Agri03_No-till,DE3,0.0
2020,Agri03_No-till,DE4,0.0
2020,Agri03_No-till,DE5,0.0
2020,Agri03_No-till,DE6,0.0
2020,Agri03_No-till,DE7,0.0
2020,Agri03_No-till,DE8,0.0
2020,Agri03_No-till,DE9,0.0
2020,Agri03_No-till,DEA,0.0
2020,Agri03_No-till,DEB,0.0
2020,Agri03_No-till,DEC,0.0
2020,Agri03_No-till,DEE,0.0
2020,Agri03_No-till,DED,0.0
2020,Agri03_No-till,DEF,0.0
2020,Agri03_No-till,DEG,0.0
2020,Agri04_toGrassland,DE1,0.0
2020,Agri04_toGrassland,DE2,0.0
2020,Agri04_toGrassland,DE3,0.0
2020,Agri04_toGrassland,DE4,0.0
2020,Agri04_toGrassland,DE5,0.0
2020,Agri04_toGrassland,DE6,0.0
2020,Agri04_toGrassland,DE7,0.0
2020,Agri04_toGrassland,DE8,0.0
2020,Agri04_toGrassland,DE9,0.0
2020,Agri04_toGrassland,DEA,0.0
2020,Agri04_toGrassland,DEB,0.0
2020,Agri04_toGrassland,DEC,0.0
2020,Agri04_toGrassland,DEE,0.0
2020,Agri04_toGrassland,DED,0.0
2020,Agri04_toGrassland,DEF,0.0
2020,Agri04_toGrassland,DEG,0.0
2020,Agri05_Agroforestry,DE1,0.0
2020,Agri05_Agroforestry,DE2,0.0
2020,Agri05_Agroforestry,DE3,0.0
2020,Agri05_Agroforestry,DE4,0.0
2020,Agri05_Agroforestry,DE5,0.0
2020,Agri05_Agroforestry,DE6,0.0
2020,Agri05_Agroforestry,DE7,0.0
2020,Agri05_Agroforestry,DE8,0.0
2020,Agri05_Agroforestry,DE9,0.0
2020,Agri05_Agroforestry,DEA,0.0
2020,Agri05_Agroforestry,DEB,0.0
2020,Agri05_Agroforestry,DEC,0.0
2020,Agri05_Agroforestry,DEE,0.0
2020,Agri05_Agroforestry,DED,0.0
2020,Agri05_Agroforestry,DEF,0.0
2020,Agri05_Agroforestry,DEG,0.0
2020,Agri06_Biochar,DE1,0.0
2020,Agri06_Biochar,DE2,0.0
2020,Agri06_Biochar,DE3,0.0
2020,Agri06_Biochar,DE4,0.0
2020,Agri06_Biochar,DE5,0.0
2020,Agri06_Biochar,DE6,0.0
2020,Agri06_Biochar,DE7,0.0
2020,Agri06_Biochar,DE8,0.0
2020,Agri06_Biochar,DE9,0.0
2020,Agri06_Biochar,DEA,0.0
2020,Agri06_Biochar,DEB,0.0
2020,Agri06_Biochar,DEC,0.0
2020,Agri06_Biochar,DEE,0.0
2020,Agri06_Biochar,DED,0.0
2020,Agri06_Biochar,DEF,0.0
2020,Agri06_Biochar,DEG,0.0
2021,Agri01_AGC,DE1,5672.751892483594
2021,Agri01_AGC,DE2,12368.803850924647
2021,Agri01_AGC,DE3,0.0
2021,Agri01_AGC,DE4,4891.173857957084
2021,Agri01_AGC,DE5,0.0
2021,Agri01_AGC,DE6,0.0
2021,Agri01_AGC,DE7,3190.027432116739
2021,Agri01_AGC,DE8,5396.160303326677
2021,Agri01_AGC,DE9,10213.343275836289
2021,Agri01_AGC,DEA,5927.286083695878
2021,Agri01_AGC,DEB,2949.257876546733
2021,Agri01_AGC,DEC,0.0
2021,Agri01_AGC,DEE,4523.4035446660055
2021,Agri01_AGC,DED,3366.0499791598468
2021,Agri01_AGC,DEF,3900.320910836551
2021,Agri01_AGC,DEG,3118.13970249581
2021,Agri02_OFC,DE1,2683.65727533587
2021,Agri02_OFC,DE2,5851.4158684990025
2021,Agri02_OFC,DE3,5.464176520075044
2021,Agri02_OFC,DE4,2313.909467154984
2021,Agri02_OFC,DE5,17.5678681966234
2021,Agri02_OFC,DE6,28.8559489166066
2021,Agri02_OFC,DE7,1509.1335720260122
2021,Agri02_OFC,DE8,2552.8077256629517
2021,Agri02_OFC,DE9,4831.713691553805
2021,Agri02_OFC,DEA,2804.071943034216
2021,Agri02_OFC,DEB,1395.2306582848048
2021,Agri02_OFC,DEC,148.357307911451
2021,Agri02_OFC,DEE,2139.92521830675
2021,Agri02_OFC,DED,1592.4060644509495
2021,Agri02_OFC,DEF,1845.1581854619963
2021,Agri02_OFC,DEG,1475.125028683899
2021,Agri03_No-till,DE1,0.0
2021,Agri03_No-till,DE2,0.0
2021,Agri03_No-till,DE3,0.0
2021,Agri03_No-till,DE4,0.0
2021,Agri03_No-till,DE5,0.0
2021,Agri03_No-till,DE6,0.0
2021,Agri03_No-till,DE7,0.0
2021,Agri03_No-till,DE8,0.0
2021,Agri03_No-till,DE9,0.0
2021,Agri03_No-till,DEA,0.0
2021,Agri03_No-till,DEB,0.0
2021,Agri03_No-till,DEC,0.0
2021,Agri03_No-till,DEE,0.0
2021,Agri03_No-till,DED,0.0
2021,Agri03_No-till,DEF,0.0
2021,Agri03_No-till,DEG,0.0
2021,Agri04_toGrassland,DE1,98.94194648992087
2021,Agri04_toGrassland,DE2,215.7318973149596
2021,Agri04_toGrassland,DE3,0.20145503147121657
2021,Agri04_toGrassland,DE4,85.30996442275467
2021,Agri04_toGrassland,DE5,0.6476978603144298
2021,Agri04_toGrassland,DE6,1.0638704799834988
2021,Agri04_toGrassland,DE7,55.63922580645225
2021,Agri04_toGrassland,DE8,94.11774287012452
2021,Agri04_toGrassland,DE9,178.13718685986225
2021,Agri04_toGrassland,DEA,103.38143349800774
2021,Agri04_toGrassland,DEB,51.43981625441913
2021,Agri04_toGrassland,DEC,5.469685326687773
2021,Agri04_toGrassland,DEE,78.89545672915337
2021,Agri04_toGrassland,DED,58.70934305477313
2021,Agri04_toGrassland,DEF,68.02789019643794
2021,Agri04_toGrassland,DEG,54.38538780467746
2021,Agri05_Agroforestry,DE1,4798.35319313262
2021,Agri05_Agroforestry,DE2,10462.27484969932
2021,Agri05_Agroforestry,DE3,9.769894648585842
2021,Agri05_Agroforestry,DE4,4137.247696412107
2021,Agri05_Agroforestry,DE5,31.41117803399499
2021,Agri05_Agroforestry,DE6,51.594156935535715
2021,Agri05_Agroforestry,DE7,2698.3161973573433
2021,Agri05_Agroforestry,DE8,4564.395466762947
2021,Agri05_Agroforestry,DE9,8639.057242236047
2021,Agri05_Agroforestry,DEA,5013.653451686705
2021,Agri05_Agroforestry,DEB,2494.6588917541794
2021,Agri05_Agroforestry,DEC,265.2614283813036
2021,Agri05_Agroforestry,DEE,3826.165546061436
2021,Agri05_Agroforestry,DED,2847.2066065759727
2021,Agri05_Agroforestry,DEF,3299.1249487840387
2021,Agri05_Agroforestry,DEG,2637.5092515378574
2021,Agri06_Biochar,DE1,0.0
2021,Agri06_Biochar,DE2,0.0
2021,Agri06_Biochar,DE3,0.0
2021,Agri06_Biochar,DE4,0.0
2021,Agri06_Biochar,DE5,0.0
2021,Agri06_Biochar,DE6,0.0
2021,Agri06_Biochar,DE7,0.0
2021,Agri06_Biochar,DE8,0.0
2021,Agri06_Biochar,DE9,0.0
2021,Agri06_Biochar,DEA,0.0
2021,Agri06_Biochar,DEB,0.0
2021,Agri06_Biochar,DEC,0.0
2021,Agri06_Biochar,DEE,0.0
2021,Agri06_Biochar,DED,0.0
2021,Agri06_Biochar,DEF,0.0
2021,Agri06_Biochar,DEG,0.0
2022,Agri01_AGC,DE1,11549.292798973653
2022,Agri01_AGC,DE2,24718.194983907724
2022,Agri01_AGC,DE3,0.0
2022,Agri01_AGC,DE4,10039.235475913365
2022,Agri01_AGC,DE5,0.0
2022,Agri01_AGC,DE6,0.0
2022,Agri01_AGC,DE7,6331.511322066334
2022,Agri01_AGC,DE8,11000.94374337684
2022,Agri01_AGC,DE9,20474.73692264574
2022,Agri01_AGC,DEA,12045.49111143627
