year,Total_costAnnual
2020,24.464000000000002
2021,140.25904489767393
2022,246.35817024822632
2023,320.93834026069135
2024,485.15548784447464
2025,664.8244777538957
2026,912.208806582056
2027,1070.3995241723126
2028,1166.646605131241
2029,1248.2171298366577
2030,1314.370351434261
2031,1363.322998404447
2032,1393.90780128612
2033,1405.0469668463
2034,1395.7495697098257
2035,1365.278384570273
2036,1315.0142929926328
2037,1248.198855324717
2038,1165.5840732931797
2039,1068.4222736919298
2040,957.4161063683032
2041,840.8993132769058
2042,708.569790083276
2043,552.7463016731411
2044,368.8573893680193
2045,365.54047430544483
2046,362.21853204519215
2047,358.8899454552306
2048,355.5530981013138
2049,118.9952587917314
2050,110.88927366587508
