year,costAnnualAgri
2020,0.0
2021,2821233.7099653073
2022,6878646.846558452
2023,12252938.188572142
2024,19030753.623690795
2025,27265183.617065344
2026,37023481.42914005
2027,48161616.418358274
2028,61087790.62455239
2029,106104057.3396059
2030,150795451.38270813
2031,193959484.64433575
2032,235640235.22102773
2033,273501452.17298126
2034,307483894.73342913
2035,338564395.94908637
2036,366659762.6679037
2037,406118484.31117576
2038,441093013.96784544
2039,469725616.6031473
2040,489829623.1519966
2041,493598839.56971025
2042,486829263.84433264
2043,466582987.4686487
2044,446336711.0929646
2045,426090434.7172808
2046,405844158.3415965
2047,385597881.96591264
2048,365351605.59022886
2049,345105329.2145446
2050,324859052.8388607
