year,Total_ghgAnnual
2020,488000.0
2021,1408654.4319685
2022,2410280.949322183
2023,3490744.273511709
2024,4648611.413278631
2025,5881429.4199987985
2026,7187755.657976718
2027,8558694.500509338
2028,10006237.281316852
2029,11709843.496631503
2030,13492263.132660376
2031,15317415.252091043
2032,17189056.36595432
2033,19038169.46993745
2034,20873387.58390391
2035,22700266.965007477
2036,24565429.752084646
2037,26516368.33540207
2038,28524191.08112063
2039,30545144.679923028
2040,32556205.402405232
2041,34514802.94149488
2042,36362028.64463949
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44046889.50303277
2050,45912754.283090174
