year,costAnnualFMs
2020,0.0
2021,27578643.55983813
2022,30209903.440855633
2023,33548186.777619664
2024,37670941.95419501
2025,42655617.35464647
2026,48579661.36303883
2027,55520522.363436855
2028,63555648.73990539
2029,72762488.87650922
2030,83218491.15731308
2031,95001103.96638183
2032,108187775.68778026
2033,122855954.70557313
2034,139083089.4038252
2035,156946628.16660136
2036,176524019.3779663
2037,181500031.65262598
2038,186478256.44973448
2039,191458713.72368458
2040,196441423.42886913
2041,201426405.5196809
2042,206413679.95051277
2043,211403266.67575747
2044,216395185.64980787
2045,221374745.66049173
2046,226319967.5168912
2047,231258545.07017446
2048,236188861.88577926
2049,0.0
2050,0.0
