year,purCO2LULUCF
2020,1.112
2021,3.709350580565748
2022,5.932296645979473
2023,7.802552866198617
2024,9.308888821245954
2025,10.498644219002017
2026,11.392349125020305
2027,12.011200372325117
2028,12.37169512787478
2029,12.490937128385982
2030,12.396756172940535
2031,12.104724286294909
2032,11.633410090972754
2033,11.002092457874934
2034,10.229438984268839
2035,9.33346337909946
2036,8.334076559834518
2037,7.418658604150206
2038,6.447136488536337
2039,5.452882750229662
2040,4.450834563277976
2041,3.4642208367044027
2042,2.4578545205440108
2043,1.4654196256348548
2044,0.5839881029588234
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
