year,techAgri,r,costTechAgri
2020,Agri01_AGC,DE1,0.0
2020,Agri01_AGC,DE2,0.0
2020,Agri01_AGC,DE3,0.0
2020,Agri01_AGC,DE4,0.0
2020,Agri01_AGC,DE5,0.0
2020,Agri01_AGC,DE6,0.0
2020,Agri01_AGC,DE7,0.0
2020,Agri01_AGC,DE8,0.0
2020,Agri01_AGC,DE9,0.0
2020,Agri01_AGC,DEA,0.0
2020,Agri01_AGC,DEB,0.0
2020,Agri01_AGC,DEC,0.0
2020,Agri01_AGC,DEE,0.0
2020,Agri01_AGC,DED,0.0
2020,Agri01_AGC,DEF,0.0
2020,Agri01_AGC,DEG,0.0
2020,Agri02_OFC,DE1,0.0
2020,Agri02_OFC,DE2,0.0
2020,Agri02_OFC,DE3,0.0
2020,Agri02_OFC,DE4,0.0
2020,Agri02_OFC,DE5,0.0
2020,Agri02_OFC,DE6,0.0
2020,Agri02_OFC,DE7,0.0
2020,Agri02_OFC,DE8,0.0
2020,Agri02_OFC,DE9,0.0
2020,Agri02_OFC,DEA,0.0
2020,Agri02_OFC,DEB,0.0
2020,Agri02_OFC,DEC,0.0
2020,Agri02_OFC,DEE,0.0
2020,Agri02_OFC,DED,0.0
2020,Agri02_OFC,DEF,0.0
2020,Agri02_OFC,DEG,0.0
2020,Agri03_No-till,DE1,0.0
2020,Agri03_No-till,DE2,0.0
2020,Agri03_No-till,DE3,0.0
2020,Agri03_No-till,DE4,0.0
2020,Agri03_No-till,DE5,0.0
2020,Agri03_No-till,DE6,0.0
2020,Agri03_No-till,DE7,0.0
2020,Agri03_No-till,DE8,0.0
2020,Agri03_No-till,DE9,0.0
2020,Agri03_No-till,DEA,0.0
2020,Agri03_No-till,DEB,0.0
2020,Agri03_No-till,DEC,0.0
2020,Agri03_No-till,DEE,0.0
2020,Agri03_No-till,DED,0.0
2020,Agri03_No-till,DEF,0.0
2020,Agri03_No-till,DEG,0.0
2020,Agri04_toGrassland,DE1,0.0
2020,Agri04_toGrassland,DE2,0.0
2020,Agri04_toGrassland,DE3,0.0
2020,Agri04_toGrassland,DE4,0.0
2020,Agri04_toGrassland,DE5,0.0
2020,Agri04_toGrassland,DE6,0.0
2020,Agri04_toGrassland,DE7,0.0
2020,Agri04_toGrassland,DE8,0.0
2020,Agri04_toGrassland,DE9,0.0
2020,Agri04_toGrassland,DEA,0.0
2020,Agri04_toGrassland,DEB,0.0
2020,Agri04_toGrassland,DEC,0.0
2020,Agri04_toGrassland,DEE,0.0
2020,Agri04_toGrassland,DED,0.0
2020,Agri04_toGrassland,DEF,0.0
2020,Agri04_toGrassland,DEG,0.0
2020,Agri05_Agroforestry,DE1,0.0
2020,Agri05_Agroforestry,DE2,0.0
2020,Agri05_Agroforestry,DE3,0.0
2020,Agri05_Agroforestry,DE4,0.0
2020,Agri05_Agroforestry,DE5,0.0
2020,Agri05_Agroforestry,DE6,0.0
2020,Agri05_Agroforestry,DE7,0.0
2020,Agri05_Agroforestry,DE8,0.0
2020,Agri05_Agroforestry,DE9,0.0
2020,Agri05_Agroforestry,DEA,0.0
2020,Agri05_Agroforestry,DEB,0.0
2020,Agri05_Agroforestry,DEC,0.0
2020,Agri05_Agroforestry,DEE,0.0
2020,Agri05_Agroforestry,DED,0.0
2020,Agri05_Agroforestry,DEF,0.0
2020,Agri05_Agroforestry,DEG,0.0
2020,Agri06_Biochar,DE1,0.0
2020,Agri06_Biochar,DE2,0.0
2020,Agri06_Biochar,DE3,0.0
2020,Agri06_Biochar,DE4,0.0
2020,Agri06_Biochar,DE5,0.0
2020,Agri06_Biochar,DE6,0.0
2020,Agri06_Biochar,DE7,0.0
2020,Agri06_Biochar,DE8,0.0
2020,Agri06_Biochar,DE9,0.0
2020,Agri06_Biochar,DEA,0.0
2020,Agri06_Biochar,DEB,0.0
2020,Agri06_Biochar,DEC,0.0
2020,Agri06_Biochar,DEE,0.0
2020,Agri06_Biochar,DED,0.0
2020,Agri06_Biochar,DEF,0.0
2020,Agri06_Biochar,DEG,0.0
2021,Agri01_AGC,DE1,1809342.4639568394
2021,Agri01_AGC,DE2,3945069.7756557255
2021,Agri01_AGC,DE3,0.0
2021,Agri01_AGC,DE4,1560055.6357000845
2021,Agri01_AGC,DE5,0.0
2021,Agri01_AGC,DE6,0.0
2021,Agri01_AGC,DE7,1017469.5110081799
2021,Agri01_AGC,DE8,1721122.6868680494
2021,Agri01_AGC,DE9,3257578.691644162
2021,Agri01_AGC,DEA,1890526.9630179582
2021,Agri01_AGC,DEB,940675.2867626166
2021,Agri01_AGC,DEC,0.0
2021,Agri01_AGC,DEE,1442754.1112491481
2021,Agri01_AGC,DED,1073612.468608869
2021,Agri01_AGC,DEF,1244019.900885485
2021,Agri01_AGC,DEG,994540.6884004194
2021,Agri02_OFC,DE1,0.0
2021,Agri02_OFC,DE2,0.0
2021,Agri02_OFC,DE3,0.0
2021,Agri02_OFC,DE4,0.0
2021,Agri02_OFC,DE5,0.0
2021,Agri02_OFC,DE6,0.0
2021,Agri02_OFC,DE7,0.0
2021,Agri02_OFC,DE8,0.0
2021,Agri02_OFC,DE9,0.0
2021,Agri02_OFC,DEA,0.0
2021,Agri02_OFC,DEB,0.0
2021,Agri02_OFC,DEC,0.0
2021,Agri02_OFC,DEE,0.0
2021,Agri02_OFC,DED,0.0
2021,Agri02_OFC,DEF,0.0
2021,Agri02_OFC,DEG,0.0
2021,Agri03_No-till,DE1,0.0
2021,Agri03_No-till,DE2,0.0
2021,Agri03_No-till,DE3,0.0
2021,Agri03_No-till,DE4,0.0
2021,Agri03_No-till,DE5,0.0
2021,Agri03_No-till,DE6,0.0
2021,Agri03_No-till,DE7,0.0
2021,Agri03_No-till,DE8,0.0
2021,Agri03_No-till,DE9,0.0
2021,Agri03_No-till,DEA,0.0
2021,Agri03_No-till,DEB,0.0
2021,Agri03_No-till,DEC,0.0
2021,Agri03_No-till,DEE,0.0
2021,Agri03_No-till,DED,0.0
2021,Agri03_No-till,DEF,0.0
2021,Agri03_No-till,DEG,0.0
2021,Agri04_toGrassland,DE1,19593.616795101214
2021,Agri04_toGrassland,DE2,42721.69970802062
2021,Agri04_toGrassland,DE3,39.89443131174071
2021,Agri04_toGrassland,DE4,16894.05566600057
2021,Agri04_toGrassland,DE5,128.26454425273235
2021,Agri04_toGrassland,DE6,210.67981017071
2021,Agri04_toGrassland,DE7,11018.316375439277
2021,Agri04_toGrassland,DE8,18638.272773468703
2021,Agri04_toGrassland,DE9,35276.7648112223
2021,Agri04_toGrassland,DEA,20472.774829576974
2021,Agri04_toGrassland,DEB,10186.701226887428
2021,Agri04_toGrassland,DEC,1083.169697816948
2021,Agri04_toGrassland,DEE,15623.781428061906
2021,Agri04_toGrassland,DED,11626.296135426694
2021,Agri04_toGrassland,DEF,13471.661506315832
2021,Agri04_toGrassland,DEG,10770.017022116837
2021,Agri05_Agroforestry,DE1,135114.3620033389
2021,Agri05_Agroforestry,DE2,294601.8216090981
2021,Agri05_Agroforestry,DE3,275.1054432951632
2021,Agri05_Agroforestry,DE4,116498.63202036604
2021,Agri05_Agroforestry,DE5,884.4912220948354
2021,Agri05_Agroforestry,DE6,1452.813354261223
2021,Agri05_Agroforestry,DE7,75980.49931193059
2021,Agri05_Agroforestry,DE8,128526.46660217676
2021,Agri05_Agroforestry,DE9,243262.7738336615
2021,Agri05_Agroforestry,DEA,141176.89135514293
2021,Agri05_Agroforestry,DEB,70245.81788971415
2021,Agri05_Agroforestry,DEC,7469.360261168175
2021,Agri05_Agroforestry,DEE,107739.0295935557
2021,Agri05_Agroforestry,DED,80173.0278400062
2021,Agri05_Agroforestry,DEF,92898.36422675637
2021,Agri05_Agroforestry,DEG,74268.2677693401
2021,Agri06_Biochar,DE1,0.0
2021,Agri06_Biochar,DE2,0.0
2021,Agri06_Biochar,DE3,0.0
2021,Agri06_Biochar,DE4,0.0
2021,Agri06_Biochar,DE5,0.0
2021,Agri06_Biochar,DE6,0.0
2021,Agri06_Biochar,DE7,0.0
2021,Agri06_Biochar,DE8,0.0
2021,Agri06_Biochar,DE9,0.0
2021,Agri06_Biochar,DEA,0.0
2021,Agri06_Biochar,DEB,0.0
2021,Agri06_Biochar,DEC,0.0
2021,Agri06_Biochar,DEE,0.0
2021,Agri06_Biochar,DED,0.0
2021,Agri06_Biochar,DEF,0.0
2021,Agri06_Biochar,DEG,0.0
2022,Agri01_AGC,DE1,3558562.869491356
2022,Agri01_AGC,DE2,7616159.04987692
2022,Agri01_AGC,DE3,0.0
2022,Agri01_AGC,DE4,3093284.690629757
2022,Agri01_AGC,DE5,0.0
2022,Agri01_AGC,DE6,0.0
2022,Agri01_AGC,DE7,1950862.4026288127
2022,Agri01_AGC,DE8,3389605.8066882654
2022,Agri01_AGC,DE9,6308666.6728205
2022,Agri01_AGC,DEA,3711451.268925705
2022,Agri01_AGC,DEB,1870103.3319464817
2022,Agri01_AGC,DEC,0.0
2022,Agri01_AGC,DEE,2825935.7538128365
2022,Agri01_AGC,DED,2123465.649371868
