year,techAgri,r,ghgAbateTechAgri
2020,Agri01_AGC,DE1,0.0
2020,Agri01_AGC,DE2,0.0
2020,Agri01_AGC,DE3,0.0
2020,Agri01_AGC,DE4,0.0
2020,Agri01_AGC,DE5,0.0
2020,Agri01_AGC,DE6,0.0
2020,Agri01_AGC,DE7,0.0
2020,Agri01_AGC,DE8,0.0
2020,Agri01_AGC,DE9,0.0
2020,Agri01_AGC,DEA,0.0
2020,Agri01_AGC,DEB,0.0
2020,Agri01_AGC,DEC,0.0
2020,Agri01_AGC,DEE,0.0
2020,Agri01_AGC,DED,0.0
2020,Agri01_AGC,DEF,0.0
2020,Agri01_AGC,DEG,0.0
2020,Agri02_OFC,DE1,0.0
2020,Agri02_OFC,DE2,0.0
2020,Agri02_OFC,DE3,0.0
2020,Agri02_OFC,DE4,0.0
2020,Agri02_OFC,DE5,0.0
2020,Agri02_OFC,DE6,0.0
2020,Agri02_OFC,DE7,0.0
2020,Agri02_OFC,DE8,0.0
2020,Agri02_OFC,DE9,0.0
2020,Agri02_OFC,DEA,0.0
2020,Agri02_OFC,DEB,0.0
2020,Agri02_OFC,DEC,0.0
2020,Agri02_OFC,DEE,0.0
2020,Agri02_OFC,DED,0.0
2020,Agri02_OFC,DEF,0.0
2020,Agri02_OFC,DEG,0.0
2020,Agri03_No-till,DE1,0.0
2020,Agri03_No-till,DE2,0.0
2020,Agri03_No-till,DE3,0.0
2020,Agri03_No-till,DE4,0.0
2020,Agri03_No-till,DE5,0.0
2020,Agri03_No-till,DE6,0.0
2020,Agri03_No-till,DE7,0.0
2020,Agri03_No-till,DE8,0.0
2020,Agri03_No-till,DE9,0.0
2020,Agri03_No-till,DEA,0.0
2020,Agri03_No-till,DEB,0.0
2020,Agri03_No-till,DEC,0.0
2020,Agri03_No-till,DEE,0.0
2020,Agri03_No-till,DED,0.0
2020,Agri03_No-till,DEF,0.0
2020,Agri03_No-till,DEG,0.0
2020,Agri04_toGrassland,DE1,0.0
2020,Agri04_toGrassland,DE2,0.0
2020,Agri04_toGrassland,DE3,0.0
2020,Agri04_toGrassland,DE4,0.0
2020,Agri04_toGrassland,DE5,0.0
2020,Agri04_toGrassland,DE6,0.0
2020,Agri04_toGrassland,DE7,0.0
2020,Agri04_toGrassland,DE8,0.0
2020,Agri04_toGrassland,DE9,0.0
2020,Agri04_toGrassland,DEA,0.0
2020,Agri04_toGrassland,DEB,0.0
2020,Agri04_toGrassland,DEC,0.0
2020,Agri04_toGrassland,DEE,0.0
2020,Agri04_toGrassland,DED,0.0
2020,Agri04_toGrassland,DEF,0.0
2020,Agri04_toGrassland,DEG,0.0
2020,Agri05_Agroforestry,DE1,0.0
2020,Agri05_Agroforestry,DE2,0.0
2020,Agri05_Agroforestry,DE3,0.0
2020,Agri05_Agroforestry,DE4,0.0
2020,Agri05_Agroforestry,DE5,0.0
2020,Agri05_Agroforestry,DE6,0.0
2020,Agri05_Agroforestry,DE7,0.0
2020,Agri05_Agroforestry,DE8,0.0
2020,Agri05_Agroforestry,DE9,0.0
2020,Agri05_Agroforestry,DEA,0.0
2020,Agri05_Agroforestry,DEB,0.0
2020,Agri05_Agroforestry,DEC,0.0
2020,Agri05_Agroforestry,DEE,0.0
2020,Agri05_Agroforestry,DED,0.0
2020,Agri05_Agroforestry,DEF,0.0
2020,Agri05_Agroforestry,DEG,0.0
2020,Agri06_Biochar,DE1,0.0
2020,Agri06_Biochar,DE2,0.0
2020,Agri06_Biochar,DE3,0.0
2020,Agri06_Biochar,DE4,0.0
2020,Agri06_Biochar,DE5,0.0
2020,Agri06_Biochar,DE6,0.0
2020,Agri06_Biochar,DE7,0.0
2020,Agri06_Biochar,DE8,0.0
2020,Agri06_Biochar,DE9,0.0
2020,Agri06_Biochar,DEA,0.0
2020,Agri06_Biochar,DEB,0.0
2020,Agri06_Biochar,DEC,0.0
2020,Agri06_Biochar,DEE,0.0
2020,Agri06_Biochar,DED,0.0
2020,Agri06_Biochar,DEF,0.0
2020,Agri06_Biochar,DEG,0.0
2021,Agri01_AGC,DE1,18233.845368697268
2021,Agri01_AGC,DE2,39756.86952082923
2021,Agri01_AGC,DE3,0.0
2021,Agri01_AGC,DE4,15721.6302577192
2021,Agri01_AGC,DE5,0.0
2021,Agri01_AGC,DE6,0.0
2021,Agri01_AGC,DE7,10253.659603232374
2021,Agri01_AGC,DE8,17344.800974978603
2021,Agri01_AGC,DE9,32828.60338661665
2021,Agri01_AGC,DEA,19051.990983308177
2021,Agri01_AGC,DEB,9479.757460328783
2021,Agri01_AGC,DEC,0.0
2021,Agri01_AGC,DEE,14539.511393569303
2021,Agri01_AGC,DED,10819.446361585222
2021,Agri01_AGC,DEF,12536.74578483177
2021,Agri01_AGC,DEG,10022.59190087939
2021,Agri02_OFC,DE1,0.0
2021,Agri02_OFC,DE2,0.0
2021,Agri02_OFC,DE3,0.0
2021,Agri02_OFC,DE4,0.0
2021,Agri02_OFC,DE5,0.0
2021,Agri02_OFC,DE6,0.0
2021,Agri02_OFC,DE7,0.0
2021,Agri02_OFC,DE8,0.0
2021,Agri02_OFC,DE9,0.0
2021,Agri02_OFC,DEA,0.0
2021,Agri02_OFC,DEB,0.0
2021,Agri02_OFC,DEC,0.0
2021,Agri02_OFC,DEE,0.0
2021,Agri02_OFC,DED,0.0
2021,Agri02_OFC,DEF,0.0
2021,Agri02_OFC,DEG,0.0
2021,Agri03_No-till,DE1,0.0
2021,Agri03_No-till,DE2,0.0
2021,Agri03_No-till,DE3,0.0
2021,Agri03_No-till,DE4,0.0
2021,Agri03_No-till,DE5,0.0
2021,Agri03_No-till,DE6,0.0
2021,Agri03_No-till,DE7,0.0
2021,Agri03_No-till,DE8,0.0
2021,Agri03_No-till,DE9,0.0
2021,Agri03_No-till,DEA,0.0
2021,Agri03_No-till,DEB,0.0
2021,Agri03_No-till,DEC,0.0
2021,Agri03_No-till,DEE,0.0
2021,Agri03_No-till,DED,0.0
2021,Agri03_No-till,DEF,0.0
2021,Agri03_No-till,DEG,0.0
2021,Agri04_toGrassland,DE1,318.02768514617424
2021,Agri04_toGrassland,DE2,693.4239556552276
2021,Agri04_toGrassland,DE3,0.6475340297289105
2021,Agri04_toGrassland,DE4,274.2105999302829
2021,Agri04_toGrassland,DE5,2.0818859795820956
2021,Agri04_toGrassland,DE6,3.4195836856612467
2021,Agri04_toGrassland,DE7,178.84036866359656
2021,Agri04_toGrassland,DE8,302.52131636825743
2021,Agri04_toGrassland,DE9,572.5838149067001
2021,Agri04_toGrassland,DEA,332.2974648150249
2021,Agri04_toGrassland,DEB,165.3422665320615
2021,Agri04_toGrassland,DEC,17.5811314072107
2021,Agri04_toGrassland,DEE,253.59253948656442
2021,Agri04_toGrassland,DED,188.70860267605653
2021,Agri04_toGrassland,DEF,218.6610756314077
2021,Agri04_toGrassland,DEG,174.81017508646326
2021,Agri05_Agroforestry,DE1,15423.278120783421
2021,Agri05_Agroforestry,DE2,33628.74058831925
2021,Agri05_Agroforestry,DE3,31.403232799025922
2021,Agri05_Agroforestry,DE4,13298.296167038918
2021,Agri05_Agroforestry,DE5,100.96450082355534
2021,Agri05_Agroforestry,DE6,165.83836157850766
2021,Agri05_Agroforestry,DE7,8673.15920579146
2021,Agri05_Agroforestry,DE8,14671.271143166616
2021,Agri05_Agroforestry,DE9,27768.398278615867
2021,Agri05_Agroforestry,DEA,16115.314666135837
2021,Agri05_Agroforestry,DEB,8018.5464377812905
2021,Agri05_Agroforestry,DEC,852.6260197970473
2021,Agri05_Agroforestry,DEE,12298.389255197473
2021,Agri05_Agroforestry,DED,9151.735521137056
2021,Agri05_Agroforestry,DEF,10604.330192520125
2021,Agri05_Agroforestry,DEG,8477.708308514542
2021,Agri06_Biochar,DE1,0.0
2021,Agri06_Biochar,DE2,0.0
2021,Agri06_Biochar,DE3,0.0
2021,Agri06_Biochar,DE4,0.0
2021,Agri06_Biochar,DE5,0.0
2021,Agri06_Biochar,DE6,0.0
2021,Agri06_Biochar,DE7,0.0
2021,Agri06_Biochar,DE8,0.0
2021,Agri06_Biochar,DE9,0.0
2021,Agri06_Biochar,DEA,0.0
2021,Agri06_Biochar,DEB,0.0
2021,Agri06_Biochar,DEC,0.0
2021,Agri06_Biochar,DEE,0.0
2021,Agri06_Biochar,DED,0.0
2021,Agri06_Biochar,DEF,0.0
2021,Agri06_Biochar,DEG,0.0
2022,Agri01_AGC,DE1,37122.72685384388
2022,Agri01_AGC,DE2,79451.34101970341
2022,Agri01_AGC,DE3,0.0
2022,Agri01_AGC,DE4,32268.97117257868
2022,Agri01_AGC,DE5,0.0
2022,Agri01_AGC,DE6,0.0
2022,Agri01_AGC,DE7,20351.286392356073
2022,Agri01_AGC,DE8,35360.17631799698
2022,Agri01_AGC,DE9,65811.65439421848
2022,Agri01_AGC,DEA,38717.65000104515
2022,Agri01_AGC,DEB,19508.812328566677
2022,Agri01_AGC,DEC,0.0
2022,Agri01_AGC,DEE,29480.002164553625
2022,Agri01_AGC,DED,22151.873713114837
