year,Total_costAnnual
2020,24.464000000000002
2021,144.00777215869402
2022,249.6241703041569
2023,323.2421571718113
2024,472.7910825178774
2025,628.8114153967575
2026,832.4552515517549
2027,950.5263340518968
2028,1007.7180312599944
2029,1042.526297935146
2030,1053.8036156063301
2031,1037.0548107305656
2032,993.9160490520566
2033,926.8540185323478
2034,844.8165884049236
2035,744.4025167682171
2036,628.1819420340498
2037,511.1177894052352
2038,423.1236527282096
2039,352.1710993395919
2040,342.20526241153345
2041,332.2420611763322
2042,322.2803083675981
2043,312.3183839195947
2044,302.35466852289335
2045,292.38754360919893
2046,282.4153913365395
2047,272.4365945748102
2048,262.4495368916605
2049,187.95010388148773
2050,176.64603311369018
