year,costAnnualAgri
2020,0.0
2021,1932678.00882685
2022,6855897.025413111
2023,12843616.72088472
2024,19862639.740545217
2025,34174917.58774945
2026,54405525.23024693
2027,79703354.91385427
2028,104669015.90635853
2029,143062968.19763073
2030,180217240.9205919
2031,215992806.99496165
2032,250290517.75967345
2033,281075556.8062473
2034,307600948.95027876
2035,330601975.5372339
2036,348711239.67356634
2037,357168742.7342314
2038,362553308.9809364
2039,364472353.419946
2040,361761724.33906585
2041,356905353.181045
2042,340138850.7892443
2043,323372348.3974435
2044,306605846.00564265
2045,289839343.61384183
2046,273072841.22204095
2047,256306338.83024016
2048,239539836.4384395
2049,222773334.0466388
2050,206006831.65483767
