year,ghgAbateAnnualFMs
2020,488000.0
2021,1273198.4319685
2022,2096231.4657241001
2023,2957508.3870564494
2024,3857438.4817552
2025,4796431.03561
2026,5774895.3344105
2027,6793240.663946349
2028,7851876.3100072
2029,8951211.558382701
2030,10091655.6948625
2031,11273618.005236251
2032,12497507.7752936
2033,13763734.2908242
2034,15072706.837617703
2035,16424834.701463753
2036,17820527.168152
2037,19260193.523472104
2038,20744243.053213697
2039,22273085.04316645
2040,23847128.779120002
2041,25466783.546864003
2042,27132458.6321881
2043,28595681.615826365
2044,29592481.615826365
2045,30521548.28249303
2046,31350614.9491597
2047,32047414.949159693
2048,32579681.615826357
2049,34564514.274793096
2050,35955530.97938299
