year,Total_costAnnual
2020,24.464000000000002
2021,130.49021687507206
2022,229.03158939164308
2023,296.1046659033819
2024,453.32026148339
2025,629.3706359257701
2026,872.3647827603023
2027,1025.6393874396108
2028,1114.4394593187596
2029,1190.6639866827823
2030,1244.8756043457322
2031,1276.9919605487157
2032,1286.2179482463084
2033,1274.0348509783719
2034,1245.9634191966265
2035,1198.54696154385
2036,1131.476268508666
2037,1050.9748994087208
2038,954.1779657401539
2039,840.4298658039688
2040,721.3089599541588
2041,590.4946573111843
2042,472.41892133728
2043,380.04112297333484
2044,364.61496148801547
2045,349.18539060178637
2046,333.7507924712839
2047,318.30954996503357
2048,302.86004664933716
2049,222.77333404663878
2050,206.00683165483767
