year,Total_ghgAnnual
2020,488000.0
2021,1403315.2319685
2022,2412725.9886724027
2023,3501706.2504096646
2024,4669287.249645092
2025,5960385.468832061
2026,7371607.82834525
2027,8889205.555306925
2028,10483774.188380195
2029,12243557.867026988
2030,14082317.643406844
2031,15982723.527582567
2032,17938515.449761968
2033,19907283.904164232
2034,21832853.59193307
2035,23757891.969317064
2036,25678749.377062432
2037,27522618.87416767
2038,29376601.807695724
2039,31253808.57314501
2040,33087025.07109581
2041,34945235.26437098
2042,36610910.34969507
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44042965.99230006
2050,45433982.69688997
