year,costAnnualFMs
2020,0.0
2021,27578643.559838135
2022,30209903.44085564
2023,33548186.777619664
2024,37670941.954195015
2025,42655617.354646474
2026,48579661.36303883
2027,55520522.36343685
2028,63555648.73990539
2029,72762488.87650922
2030,83218491.15731306
2031,95001103.96638185
2032,108187775.68778023
2033,122855954.70557311
2034,139083089.4038252
2035,156946628.16660136
2036,176524019.37796634
2037,181500031.65262598
2038,186478256.44973445
2039,191458713.72368458
2040,196441423.42886907
2041,201426405.51968086
2042,206413679.95051274
2043,211403266.6757575
2044,216395185.6498079
2045,221346296.46568507
2046,226291521.56445932
2047,231230102.33430362
2048,236160422.3409623
2049,0.0
2050,0.0
